devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-03T22:58:35.476,65227.0,0089PS06CT12017-07-03T22:58:33338,2252.0,2017-07-03T22:58:33.434,14.52,inch,135.0,ms,19.37,inch,FC300008,14.2,inch,16.2,5.6,880.0,degree/10,12882.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.37,ft/min,3.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:36.066,1266.0,0089PS06CT12017-07-03T22:58:34339,2253.0,2017-07-03T22:58:34.017,13.3,inch,123.0,ms,49.72,inch,FC300008,13.4,inch,13.4,12.0,890.0,degree/10,21547.0,inch3/10,0.0,inch3/10,2754.0,mm/sec,539.37,ft/min,31.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:36.494,2406.0,0089PS06CT12017-07-03T22:58:34340,2254.0,2017-07-03T22:58:34.443,24.8,inch,230.0,ms,21.22,inch,FC300008,24.2,inch,17.8,8.6,-16.0,degree/10,37045.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,43.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:38.805,8571.0,0089PS06CT12017-07-03T22:58:36341,2255.0,2017-07-03T22:58:36.750,16.96,inch,157.0,ms,232.32,inch,FC300008,16.6,inch,14.4,6.4,-29.0,degree/10,15299.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,4.3,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:39.919,11541.0,0089PS06CT12017-07-03T22:58:37342,2256.0,2017-07-03T22:58:37.863,10.9,inch,102.0,ms,109.13,inch,FC300008,10.4,inch,11.8,6.8,890.0,degree/10,8345.0,inch3/10,0.0,inch3/10,2749.0,mm/sec,539.37,ft/min,1.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:41.135,14781.0,0089PS06CT12017-07-03T22:58:39343,2257.0,2017-07-03T22:58:39.080,16.33,inch,152.0,ms,114.6,inch,FC300008,15.4,inch,20.4,7.0,861.0,degree/10,21991.0,inch3/10,0.0,inch3/10,2786.0,mm/sec,539.37,ft/min,15.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:43.891,22131.0,0089PS06CT12017-07-03T22:58:41344,2258.0,2017-07-03T22:58:41.837,16.96,inch,157.0,ms,280.19,inch,FC300008,16.2,inch,12.4,8.6,-28.0,degree/10,17276.0,inch3/10,0.0,inch3/10,2783.0,mm/sec,539.37,ft/min,3.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:44.678,24230.0,0089PS06CT12017-07-03T22:58:42345,2259.0,2017-07-03T22:58:42.624,25.47,inch,236.0,ms,59.4,inch,FC300008,24.4,inch,17.4,6.6,-23.0,degree/10,28021.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.37,ft/min,20.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:45.970,27681.0,0089PS06CT12017-07-03T22:58:43346,2260.0,2017-07-03T22:58:43.929,19.37,inch,180.0,ms,121.29,inch,FC300008,18.8,inch,12.6,12.4,-14.0,degree/10,29373.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,20.0,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:49.846,38016.0,0089PS06CT12017-07-03T22:58:47347,2261.0,2017-07-03T22:58:47.804,25.47,inch,236.0,ms,392.4,inch,FC300008,24.2,inch,17.4,6.8,-20.0,degree/10,28633.0,inch3/10,0.0,inch3/10,2799.0,mm/sec,539.37,ft/min,29.5,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:52.266,44481.0,0089PS06CT12017-07-03T22:58:50348,2262.0,2017-07-03T22:58:50.229,27.87,inch,259.0,ms,233.46,inch,FC300008,27.8,inch,7.8,7.4,-31.0,degree/10,16046.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,539.37,ft/min,22.4,LB,0,1,1,0,0,0,0,1,1,0,0
